date,USDNOK BGN Curncy,USDEUR CURNCY,USDJPY CURNCY,USDGBP CURNCY,USDCAD CURNCY,USDAUD CURNCY,USDNZD CURNCY,USDCHF CURNCY,USDDKK CURNCY,USDSEK CURNCY,USDAUD CURNCY,USDBRL CURNCY,USDARS CURNCY,USDCLP CURNCY,USDCOP CURNCY,USDCRC CURNCY,USDGTQ CURNCY,USDMXN CURNCY,USDPEN CURNCY,USDVEF CURNCY,USDCZK CURNCY,USDHUF CURNCY,USDISK CURNCY,USDPLN CURNCY,USDRUB CURNCY,USDTRY CURNCY,USDILS CURNCY,USDAED CURNCY,USDZAR CURNCY
1/3/2000,7.8884,0.9763,101.45,0.6112,1.4468,1.5187,1.9048,1.567,7.264,8.3767,1.5187,1.819,1,528,1877.5,297.72,7.662,9.505,3.52,0.6495,35.18,250.56,72.24,4.125,27.35,0.5415,4.1179,3.6731,6.1315
1/4/2000,7.9469,0.9713,103.22,0.6112,1.4528,1.5266,1.9251,1.5573,7.2296,8.381,1.5266,1.851,0.9999,529.43,1892.5,297.54,7.66,9.5713,3.5205,0.6505,35.261,246.88,71.82,4.1225,27.5,0.5367,4.115,3.673,6.09
1/5/2000,7.943,0.9689,104.14,0.6088,1.45,1.519,1.9212,1.5486,7.2118,8.3671,1.519,1.839,1,530,1910,294.53,7.78,9.571,3.519,0.6498,35.114,246.6,71.87,4.1245,27.25,0.5367,4.1512,3.673,6.0684
1/6/2000,7.942,0.9682,105.23,0.607,1.4599,1.5313,1.9446,1.5532,7.2076,8.3719,1.5313,1.8415,0.9999,527,1912.4,294.53,7.78,9.58,3.509,0.649,35.107,246.57,72.03,4.081,27.455,0.5361,4.1562,3.673,6.0788
1/7/2000,7.9748,0.9713,105.34,0.61,1.4558,1.5271,1.9324,1.5646,7.2257,8.4167,1.5271,1.827,1,524.55,1901,295.43,7.7,9.565,3.511,0.6498,35.04,247.35,72.1,4.075,27.455,0.5395,4.1695,3.673,6.0575
1/10/2000,8.0122,0.975,105.16,0.6107,1.4558,1.525,1.9393,1.5694,7.2577,8.4485,1.525,1.815,0.9999,522.5,1902.5,298.43,7.8628,9.47,3.509,0.651,35.12,248.43,72.36,4.0705,28.15,0.5411,4.1249,3.6731,6.075
1/11/2000,7.9588,0.9675,105.95,0.607,1.4571,1.5206,1.9333,1.5583,7.1974,8.3968,1.5206,1.8225,0.9999,522.5,1901,295.02,7.8628,9.5125,3.508,0.6516,34.85,246.83,71.94,4.0655,28.6,0.5404,4.1181,3.673,6.0925
1/12/2000,7.9558,0.97,105.79,0.6073,1.454,1.5185,1.9281,1.5624,7.2202,8.3983,1.5185,1.828,1,519.53,1905.85,295.02,7.8628,9.522,3.509,0.651,34.961,247.77,71.62,4.065,28.75,0.5405,4.1224,3.6731,6.065
1/13/2000,7.9424,0.9748,106.17,0.6071,1.4507,1.4993,1.91,1.5714,7.2556,8.4165,1.4993,1.8133,0.9999,517.05,1917,295.02,7.85,9.4875,3.5005,0.6518,35.2,248.22,71.83,4.067,28.655,0.5425,4.1153,3.6731,6.0618
1/14/2000,7.996,0.9879,105.87,0.613,1.4499,1.5023,1.9185,1.5945,7.3556,8.4749,1.5023,1.804,1,515.67,1921,295.02,7.87,9.4503,3.4875,0.6515,35.555,251.33,72.25,4.075,28.655,0.5493,4.1158,3.6731,6.0725
