ExpiryStrike,1D,1W,2W,3W,1M,2M,3M,4M,5M,6M,9M,1Y,18M,2Y,3Y,4Y,5Y,6Y,7Y,10Y,15Y,20Y,25Y,30Y
50DC,19.104,19.059,19.037,19.017,18.992,18.929,18.879,18.855,18.919,18.854,18.932,19.055,19.338,19.612,20.25,20.571,20.64,20.928,21.101,21.292,21.569,21.637,21.759,21.909
35DC,19.184,19.281,19.352,19.401,19.45,19.549,19.624,19.674,19.8,19.766,19.892,20.113,20.511,20.77,21.24,21.502,21.548,21.622,21.67,21.775,21.586,21.408,21.297,21.22
35DP,19.024,18.847,18.742,18.661,18.575,18.382,18.238,18.161,18.18,18.089,18.117,18.152,18.335,18.571,19.176,19.494,19.578,19.85,20.035,20.358,20.471,0,0,0
25DC,19.241,19.453,19.605,19.721,19.843,20.124,20.36,20.522,20.743,20.786,21.063,21.265,21.846,22.13,22.512,22.789,22.867,22.85,22.883,23.09,22.342,22.114,21.964,21.855
25DP,18.967,18.709,18.558,18.444,18.328,18.076,17.897,17.801,17.81,17.707,17.715,17.801,17.969,18.205,18.783,19.115,19.223,19.461,19.643,20.016,19.421,19.299,19.238,19.214
15DC,19.327,19.693,19.958,20.164,20.382,20.898,21.337,21.638,22.013,22.122,22.604,22.934,23.612,23.916,24.268,24.381,24.253,24.249,24.208,24,23.551,23.243,23.033,22.877
15DP,18.881,18.536,18.336,18.196,18.06,17.795,17.632,17.553,17.573,17.483,17.495,17.571,17.731,17.919,18.527,18.774,18.761,19.066,19.251,19.478,19.245,19.103,19.019,18.964
10DC,19.379,19.843,20.182,20.448,20.733,21.414,22.001,22.407,22.898,23.061,23.709,24.133,24.888,25.216,25.494,25.499,25.28,25.229,25.119,24.689,24.502,24.14,23.889,23.698
10DP,18.829,18.437,18.213,18.061,17.919,17.663,17.525,17.468,17.507,17.433,17.467,17.534,17.705,17.867,18.465,18.659,18.607,18.975,19.168,19.294,19.304,19.168,19.089,19.039
05DC,19.434,20.019,20.452,20.797,21.171,22.086,22.893,23.458,24.086,24.367,25.263,25.727,26.683,27.076,27.184,27.203,27.033,26.806,26.619,26.193,25.964,25.549,25.254,25.025
05DP,18.775,18.332,18.085,17.923,17.776,17.537,17.437,17.416,17.494,17.444,17.54,17.632,17.85,18.018,18.5,18.718,18.745,19.038,19.202,19.482,19.506,19.375,19.302,19.259
