date,NOKBRL CURNCY
04/13/2022,0.536
04/12/2022,0.5335
04/11/2022,0.5323
04/08/2022,0.54
04/07/2022,0.5398
04/06/2022,0.5359
04/05/2022,0.5311
04/04/2022,0.5272
04/01/2022,0.5328
03/31/2022,0.5394
03/30/2022,0.5565
03/29/2022,0.5486
03/28/2022,0.5468
03/25/2022,0.5507
03/24/2022,0.5563
03/23/2022,0.5555
03/22/2022,0.5604
03/21/2022,0.5646
03/18/2022,0.5743
03/17/2022,0.573
03/16/2022,0.5709
03/15/2022,0.573
03/14/2022,0.566
03/11/2022,0.5635
03/10/2022,0.5604
03/09/2022,0.5624
03/08/2022,0.5631
03/07/2022,0.5626
03/04/2022,0.566
03/03/2022,0.5638
03/02/2022,0.5764
03/01/2022,0.58
02/28/2022,0.5848
02/25/2022,0.5832
02/24/2022,0.5709
02/23/2022,0.5624
02/22/2022,0.5687
02/21/2022,0.5667
02/18/2022,0.5713
02/17/2022,0.5797
02/16/2022,0.5775
02/15/2022,0.5806
02/14/2022,0.5871
02/11/2022,0.5919
02/10/2022,0.5956
02/09/2022,0.5935
02/08/2022,0.5959
02/07/2022,0.5988
02/04/2022,0.6055
02/03/2022,0.6068
02/02/2022,0.5983
02/01/2022,0.5964
01/31/2022,0.5967
01/28/2022,0.5993
01/27/2022,0.6044
01/26/2022,0.6087
01/25/2022,0.6087
01/24/2022,0.613
01/21/2022,0.6121
01/20/2022,0.6154
01/19/2022,0.6198
01/18/2022,0.6324
01/17/2022,0.6322
01/14/2022,0.6306
01/13/2022,0.6344
01/12/2022,0.6373
01/11/2022,0.6354
01/10/2022,0.64
01/07/2022,0.6377
01/06/2022,0.6392
01/05/2022,0.6456
01/04/2022,0.6415
01/03/2022,0.6398
12/31/2021,0.632
12/30/2021,0.6323
12/29/2021,0.6483
12/28/2021,0.6393
12/27/2021,0.6368
12/24/2021,0.6418
12/23/2021,0.6437
12/22/2021,0.6379
12/21/2021,0.6425
12/20/2021,0.6339
12/17/2021,0.6285
12/16/2021,0.633
12/15/2021,0.6313
12/14/2021,0.6247
12/13/2021,0.6276
12/10/2021,0.6271
12/09/2021,0.6204
12/08/2021,0.6227
12/07/2021,0.6221
12/06/2021,0.6255
12/03/2021,0.6157
12/02/2021,0.6201
12/01/2021,0.6274
11/30/2021,0.6222
11/29/2021,0.6218
11/26/2021,0.6174
11/25/2021,0.6201
11/24/2021,0.6249
11/23/2021,0.6282
11/22/2021,0.6265
11/19/2021,0.6287
11/18/2021,0.6316
11/17/2021,0.6314
11/16/2021,0.6289
11/15/2021,0.6262
11/12/2021,0.6276
11/11/2021,0.623
11/10/2021,0.6355
11/09/2021,0.6446
11/08/2021,0.6517
11/05/2021,0.6475
11/04/2021,0.6549
11/03/2021,0.6529
11/02/2021,0.6668
11/01/2021,0.6762
10/29/2021,0.6675
10/28/2021,0.6777
10/27/2021,0.6578
10/26/2021,0.6655
10/25/2021,0.6654
10/22/2021,0.6765
10/21/2021,0.6772
10/20/2021,0.6739
10/19/2021,0.6684
10/18/2021,0.6547
10/15/2021,0.6481
10/14/2021,0.6525
10/13/2021,0.6497
10/12/2021,0.6471
10/11/2021,0.6451
10/08/2021,0.645
10/07/2021,0.6432
10/06/2021,0.6402
10/05/2021,0.6417
10/04/2021,0.6367
10/01/2021,0.6216
09/30/2021,0.6222
09/29/2021,0.6171
09/28/2021,0.6267
09/27/2021,0.6266
09/24/2021,0.6215
09/23/2021,0.6178
09/22/2021,0.6108
09/21/2021,0.6069
09/20/2021,0.6102
09/17/2021,0.6072
09/16/2021,0.6092
09/15/2021,0.609
09/14/2021,0.6062
09/13/2021,0.6035
09/10/2021,0.6048
09/09/2021,0.5994
09/08/2021,0.6105
09/07/2021,0.5954
09/06/2021,0.5968
09/03/2021,0.5987
09/02/2021,0.5998
09/01/2021,0.5969
08/31/2021,0.5925
08/30/2021,0.598
08/27/2021,0.5973
08/26/2021,0.5943
08/25/2021,0.5921
08/24/2021,0.5939
08/23/2021,0.6033
08/20/2021,0.5961
08/19/2021,0.5992
08/18/2021,0.605
08/17/2021,0.594
08/16/2021,0.5949
08/13/2021,0.5963
08/12/2021,0.5934
08/11/2021,0.5893
08/10/2021,0.5818
08/09/2021,0.5854
08/06/2021,0.5886
08/05/2021,0.5948
08/04/2021,0.5845
08/03/2021,0.5894
08/02/2021,0.5857
07/30/2021,0.5907
07/29/2021,0.5818
07/28/2021,0.5811
07/27/2021,0.5823
07/26/2021,0.5872
07/23/2021,0.5864
07/22/2021,0.5878
07/21/2021,0.5839
07/20/2021,0.5804
07/19/2021,0.5869
07/16/2021,0.5781
07/15/2021,0.5791
07/14/2021,0.5808
07/13/2021,0.5882
07/12/2021,0.5955
07/09/2021,0.6058
07/08/2021,0.5984
07/07/2021,0.5994
07/06/2021,0.5979
07/05/2021,0.5947
07/02/2021,0.5888
07/01/2021,0.5857
06/30/2021,0.5774
06/29/2021,0.579
06/28/2021,0.578
06/25/2021,0.5802
06/24/2021,0.5781
06/23/2021,0.5819
06/22/2021,0.5809
06/21/2021,0.5843
06/18/2021,0.5872
06/17/2021,0.5859
06/16/2021,0.5966
06/15/2021,0.6066
06/14/2021,0.6091
06/11/2021,0.6139
06/10/2021,0.6115
06/09/2021,0.6115
06/08/2021,0.6089
06/07/2021,0.6106
06/04/2021,0.6077
06/03/2021,0.6057
06/02/2021,0.6118
06/01/2021,0.6194
05/31/2021,0.6269
05/28/2021,0.6248
05/27/2021,0.6276
05/26/2021,0.6347
05/25/2021,0.6417
05/24/2021,0.6384
05/21/2021,0.64
05/20/2021,0.6366
05/19/2021,0.6384
05/18/2021,0.6396
05/17/2021,0.6385
05/14/2021,0.6412
05/13/2021,0.6352
05/12/2021,0.6356
05/11/2021,0.6321
05/10/2021,0.6319
05/07/2021,0.6374
05/06/2021,0.6356
05/05/2021,0.6409
05/04/2021,0.6532
05/03/2021,0.6568
04/30/2021,0.6534
04/29/2021,0.652
04/28/2021,0.6528
04/27/2021,0.6588
04/26/2021,0.6555
04/23/2021,0.6601
04/22/2021,0.6514
04/21/2021,0.6678
04/20/2021,0.6659
04/19/2021,0.6692
04/16/2021,0.6676
04/15/2021,0.6701
04/14/2021,0.6737
04/13/2021,0.6749
04/12/2021,0.6761
04/09/2021,0.6687
04/08/2021,0.659
04/07/2021,0.6624
04/06/2021,0.6591
04/05/2021,0.6662
04/02/2021,0.6689
04/01/2021,0.6704
03/31/2021,0.6588
03/30/2021,0.675
03/29/2021,0.676
03/26/2021,0.6715
03/25/2021,0.6533
03/24/2021,0.6535
03/23/2021,0.6388
03/22/2021,0.6476
03/19/2021,0.6433
03/18/2021,0.6533
03/17/2021,0.6644
03/16/2021,0.6629
03/15/2021,0.6647
03/12/2021,0.6585
03/11/2021,0.6578
03/10/2021,0.673
03/09/2021,0.6852
03/08/2021,0.688
03/05/2021,0.6651
03/04/2021,0.6611
03/03/2021,0.6608
03/02/2021,0.6699
