ExpiryStrike,50DC,35DC,35DP,25DC,25DP,15DC,15DP,10DC,10DP,05DC,05DP
1D,4.74,0.296,195.393,0.174,195.393,0.115,195.393,0.093,195.393,0.073,195.393
1W,5.065,0.311,196.365,0.183,196.365,0.121,196.365,0.098,196.365,0.077,196.365
2W,4.045,0.189,195.474,0.11,195.474,0.073,195.474,0.059,195.474,0.046,195.474
3W,13.475,1.886,208.385,1.161,208.389,0.785,208.389,0.643,208.389,0.508,208.389
1M,17.028,2.165,76.526,1.433,135.757,1.043,200.372,0.881,236.609,0.701,236.609
2M,19.005,2.577,73.049,1.738,122.456,1.237,172.843,1.035,203.179,0.829,203.179
3M,19.488,2.673,74,1.778,130.752,1.256,192.806,1.048,224.591,0.837,224.591
4M,20.193,2.669,76.435,1.76,139.1,1.237,211.391,1.031,246.915,0.822,246.915
5M,18.21,2.678,72.728,1.751,58.118,1.225,212.44,1.019,247.849,0.817,256.474
6M,21.688,2.634,69.657,1.715,130.621,1.197,223.357,0.995,264.082,0.793,264.082
9M,24.422,2.578,240.075,1.652,245.01,1.144,245.32,0.948,245.321,0.756,245.321
1Y,25.85,2.012,244.753,1.32,252.954,0.925,253.841,0.77,253.853,0.616,253.853
18M,28.65,0.945,244.679,0.631,265.66,0.446,270.685,0.372,270.952,0.299,270.969
2Y,61.753,0,61.775,27.483,81.97,20.592,111.498,17.804,127.553,14.901,142.791
3Y,167.657,0,82.84,31.703,101.461,24.73,125.666,22.188,139.897,19.604,155.278
4Y,175.532,0,90.3,34.483,106.799,27.12,128.526,24.311,142.063,23.349,158.072
5Y,177.994,0,92.62,36.158,107.566,27.965,127.544,25.209,140.474,25.209,156.698
6Y,179.488,0,93.562,37.645,107.312,28.393,125.938,26.364,138.336,26.364,154.59
7Y,180.518,0,93.853,39.24,106.658,28.631,124.195,27.145,136.119,27.145,152.28
10Y,178.887,0,89.721,0,100.427,28.267,115.489,26.9,126.189,26.9,141.686
15Y,177.641,0,85.415,0,94.117,27.88,106.636,26.712,115.852,26.712,129.94
20Y,177.047,0,82.587,0,90.089,27.626,101.015,26.623,109.208,26.623,122.09
25Y,176.662,0,80.499,0,87.183,27.442,96.996,26.565,104.439,26.565,116.344
30Y,176.416,0,78.884,0,84.968,27.312,93.95,26.528,100.818,26.528,111.929
