ExpiryStrike,1D,1W,2W,3W,1M,2M,3M,4M,5M,6M,9M,1Y,18M,2Y,3Y,4Y,5Y,6Y,7Y,10Y,15Y,20Y,25Y,30Y
50DC,15.077,14.77,14.64,14.467,14.777,14.735,14.527,14.517,14.445,14.423,14.405,14.36,14.61,14.773,15.453,16.098,17.3,18.681,19.54,20.115,19.591,19.41,19.353,19.349
35DC,15.456,15.181,15.117,15.034,15.324,15.425,15.326,15.369,15.342,15.374,15.413,15.514,15.816,16.04,16.876,17.69,18.938,20.454,21.399,21.83,20.426,0,0,0
35DP,14.854,14.529,14.347,14.131,14.451,14.32,14.054,14.026,13.941,13.901,13.878,13.796,14.059,14.225,14.919,15.54,16.818,18.212,19.096,19.83,19.525,19.42,19.375,19.358
25DC,15.917,15.588,15.575,15.565,15.854,16.073,16.107,16.219,16.254,16.363,16.508,16.693,17.075,17.399,18.475,19.533,20.98,22.838,24.127,25.382,23.506,22.403,21.644,21.078
25DP,14.887,14.453,14.235,13.965,14.306,14.118,13.822,13.786,13.688,13.633,13.593,13.523,13.79,13.956,14.615,15.183,16.465,17.819,18.683,19.457,19.354,19.347,19.352,19.361
15DC,16.866,16.16,16.222,16.245,16.596,16.943,17.204,17.414,17.536,17.756,18.055,18.406,18.898,19.37,20.74,22.118,23.733,25.936,27.614,29.51,26.516,24.766,23.58,22.711
15DP,15.334,14.47,14.217,13.815,14.224,13.978,13.706,13.656,13.54,13.474,13.43,13.399,13.683,13.865,14.445,14.963,16.238,17.597,18.501,19.35,19.406,19.432,19.434,19.43
10DC,17.674,16.55,16.657,16.672,17.087,17.503,17.925,18.194,18.369,18.664,19.058,19.524,20.084,20.644,22.134,23.663,25.309,27.627,29.435,31.315,27.732,25.66,24.267,23.25
10DP,15.846,14.53,14.262,13.747,14.212,13.938,13.7,13.636,13.515,13.451,13.413,13.411,13.716,13.921,14.441,14.928,16.201,17.592,18.545,19.465,19.511,19.514,19.499,19.483
05DC,18.691,17.055,17.213,17.216,17.704,18.201,18.81,19.143,19.389,19.752,20.245,20.826,21.454,22.098,23.683,25.327,27.004,29.424,31.34,33.196,29.008,26.589,24.968,23.788
05DP,16.505,14.637,14.35,13.708,14.241,13.929,13.734,13.659,13.537,13.477,13.447,13.485,13.818,14.053,14.507,14.949,16.229,17.679,18.66,19.693,19.68,19.651,19.612,19.576
