ExpiryStrike,1D,1W,2W,3W,1M,2M,3M,4M,5M,6M,9M,1Y,18M,2Y,3Y,4Y,5Y,6Y,7Y,10Y,15Y,20Y,25Y,30Y
50DC,7.32,7.465,7.813,7.697,7.822,7.57,7.615,7.703,7.74,7.72,7.79,7.862,8.023,8.117,8.353,8.67,8.91,9.305,9.575,10.12,10.1,9.989,9.92,9.871
35DC,7.438,7.606,7.956,7.855,7.984,7.762,7.83,7.936,7.992,7.984,8.091,8.206,8.376,8.48,8.744,9.089,9.365,9.728,9.975,10.515,10.476,10.347,10.262,10.196
35DP,7.238,7.384,7.734,7.615,7.736,7.472,7.515,7.599,7.633,7.611,7.664,7.719,7.884,7.98,8.206,8.511,8.73,9.163,9.46,10.01,10.011,9.914,9.856,9.817
25DC,7.598,7.744,8.096,7.997,8.137,7.955,8.053,8.179,8.259,8.271,8.427,8.574,8.759,8.881,9.181,9.543,9.856,10.196,10.43,10.965,10.96,10.84,10.766,10.714
25DP,7.263,7.366,7.719,7.597,7.712,7.455,7.498,7.586,7.624,7.604,7.652,7.706,7.871,7.969,8.189,8.473,8.674,9.127,9.43,9.965,9.964,9.869,9.812,9.773
15DC,8.001,7.931,8.279,8.189,8.346,8.207,8.358,8.514,8.635,8.673,8.899,9.1,9.315,9.477,9.831,10.224,10.579,10.907,11.147,11.642,11.663,11.548,11.484,11.444
15DP,7.514,7.389,7.736,7.631,7.729,7.482,7.543,7.636,7.683,7.673,7.736,7.795,7.965,8.072,8.289,8.556,8.741,9.185,9.472,9.974,9.971,9.872,9.813,9.773
10DC,8.393,8.054,8.4,8.31,8.48,8.37,8.558,8.736,8.889,8.941,9.209,9.447,9.685,9.88,10.273,10.684,11.059,11.398,11.642,12.095,12.126,12.011,11.95,11.913
10DP,7.828,7.416,7.765,7.67,7.755,7.52,7.593,7.694,7.753,7.749,7.831,7.897,8.07,8.19,8.418,8.671,8.851,9.263,9.545,10.018,10.013,9.91,9.848,9.806
05DC,8.82,8.207,8.546,8.467,8.66,8.59,8.82,9.026,9.226,9.293,9.607,9.9,10.158,10.384,10.823,11.25,11.655,11.997,12.237,12.636,12.665,12.547,12.482,12.443
05DP,8.2,7.482,7.799,7.717,7.81,7.59,7.69,7.799,7.878,7.888,7.997,8.065,8.243,8.371,8.603,8.83,8.995,9.412,9.695,10.123,10.115,10.006,9.94,9.894
