ExpiryStrike,1D,1W,2W,3W,1M,2M,3M,4M,5M,6M,9M,1Y,18M,2Y,3Y,4Y,5Y,6Y,7Y,10Y,15Y,20Y,25Y,30Y
50DC,7.615,7.092,7.208,7.35,7.237,7.283,7.383,7.495,7.522,7.568,7.71,7.767,7.847,7.898,8.787,8.785,9.18,9.49,9.705,9.965,9.969,9.942,9.926,9.918
35DC,7.691,7.152,7.259,7.39,7.309,7.405,7.561,7.704,7.758,7.829,7.989,8.096,8.165,8.214,9.074,9.046,9.422,9.702,9.895,10.131,10.071,10.024,9.989,9.963
35DP,7.624,7.102,7.241,7.38,7.266,7.265,7.339,7.441,7.459,7.496,7.626,7.674,7.77,7.826,8.746,8.774,9.187,9.509,9.725,9.999,10.047,10.014,9.992,9.979
25DC,7.78,7.229,7.34,7.453,7.406,7.551,7.754,7.931,8.024,8.134,8.329,8.489,8.539,8.595,9.457,9.421,9.8,10.073,10.267,10.475,10.414,10.373,10.345,10.325
25DP,7.665,7.151,7.315,7.448,7.339,7.319,7.376,7.474,7.494,7.536,7.666,7.731,7.826,7.885,8.832,8.879,9.31,9.633,9.842,10.135,10.213,10.173,10.147,10.129
15DC,7.875,7.339,7.465,7.549,7.557,7.744,8.003,8.244,8.4,8.56,8.826,9.08,9.069,9.156,10.084,10.034,10.424,10.696,10.894,11.083,11.061,11.035,11.021,11.017
15DP,7.72,7.251,7.445,7.586,7.467,7.441,7.483,7.586,7.62,7.675,7.834,7.965,8.021,8.104,9.106,9.166,9.611,9.974,10.234,10.523,10.552,10.5,10.463,10.436
10DC,7.926,7.415,7.553,7.619,7.66,7.873,8.16,8.45,8.67,8.843,9.169,9.497,9.43,9.54,10.53,10.466,10.87,11.174,11.38,11.525,11.558,11.539,11.533,11.536
10DP,7.754,7.33,7.543,7.691,7.565,7.548,7.575,7.685,7.737,7.803,8.001,8.197,8.21,8.315,9.365,9.424,9.88,10.285,10.58,10.88,10.854,10.791,10.747,10.714
05DC,8.045,7.551,7.708,7.749,7.842,8.104,8.445,8.795,9.062,9.303,9.7,10.119,9.994,10.128,11.172,11.097,11.512,11.825,12.047,12.165,12.2,12.181,12.174,12.177
05DP,7.836,7.447,7.696,7.838,7.726,7.706,7.728,7.856,7.935,8.023,8.262,8.533,8.502,8.632,9.751,9.827,10.306,10.764,11.075,11.382,11.347,11.275,11.222,11.182
