ExpiryStrike,1D,1W,2W,3W,1M,2M,3M,4M,5M,6M,9M,1Y,18M,2Y,3Y,4Y,5Y,6Y,7Y,10Y,15Y,20Y,25Y,30Y
50DC,7.177,7.053,7.18,6.99,7.402,7.28,7.43,7.533,7.542,7.592,7.7,7.773,8.02,8.157,8.53,8.822,8.997,9.078,9.135,9.41,9.404,9.347,9.311,9.287
35DC,7.194,7.096,7.22,7.04,7.454,7.378,7.572,7.715,7.758,7.839,7.981,8.071,8.322,8.466,8.822,9.076,9.245,9.305,9.347,9.585,9.555,9.481,9.432,9.396
35DP,7.236,7.109,7.23,7.035,7.441,7.283,7.397,7.475,7.464,7.496,7.599,7.664,7.922,8.064,8.452,8.784,8.96,9.066,9.142,9.455,9.456,9.411,9.385,9.372
25DC,7.27,7.168,7.295,7.12,7.534,7.501,7.739,7.919,8,8.116,8.299,8.424,8.681,8.835,9.189,9.421,9.582,9.623,9.652,9.869,9.809,9.72,9.657,9.611
25DP,7.345,7.193,7.31,7.115,7.511,7.339,7.436,7.506,7.492,7.524,7.636,7.706,7.979,8.13,8.536,8.894,9.077,9.202,9.287,9.611,9.619,9.58,9.56,9.552
15DC,7.455,7.281,7.398,7.241,7.65,7.666,7.984,8.223,8.365,8.534,8.782,8.974,9.244,9.429,9.801,10.032,10.177,10.162,10.151,10.381,10.296,10.183,10.103,10.042
15DP,7.55,7.314,7.423,7.234,7.615,7.429,7.541,7.613,7.609,7.656,7.792,7.896,8.186,8.371,8.819,9.202,9.412,9.532,9.614,9.924,9.944,9.908,9.892,9.889
10DC,7.617,7.363,7.47,7.329,7.73,7.78,8.152,8.434,8.625,8.824,9.122,9.364,9.645,9.861,10.264,10.506,10.631,10.57,10.52,10.783,10.712,10.585,10.493,10.423
10DP,7.717,7.398,7.5,7.321,7.69,7.5,7.627,7.706,7.719,7.781,7.942,8.076,8.38,8.599,9.081,9.479,9.709,9.809,9.88,10.168,10.206,10.168,10.152,10.149
05DC,7.85,7.48,7.578,7.455,7.845,7.939,8.389,8.729,8.984,9.224,9.585,9.896,10.196,10.451,10.899,11.166,11.271,11.21,11.166,11.44,11.369,11.232,11.132,11.055
05DP,7.96,7.52,7.613,7.44,7.795,7.606,7.761,7.856,7.896,7.976,8.17,8.354,8.679,8.934,9.466,9.879,10.134,10.208,10.263,10.543,10.577,10.533,10.512,10.503
