ExpiryStrike,1D,1W,2W,3W,1M,2M,3M,4M,5M,6M,9M,1Y,18M,2Y,3Y,4Y,5Y,6Y,7Y,10Y,15Y,20Y,25Y,30Y
50DC,8.995,8.955,12.405,12.688,13,13.075,13.295,13.148,12.965,12.875,12.405,12.095,11.925,11.81,11.877,11.96,12.035,12.179,12.275,12.525,12.476,12.341,12.25,12.184
35DC,9.165,9.065,12.552,12.894,13.25,13.565,13.928,13.809,13.654,13.593,13.15,12.857,12.673,12.545,12.607,12.675,12.743,12.821,12.873,13.108,12.987,12.821,12.706,12.62
35DP,9.135,8.975,12.427,12.641,12.935,12.81,12.923,12.756,12.558,12.447,11.97,11.647,11.493,11.38,11.502,11.6,11.693,11.834,11.923,12.168,12.178,12.063,11.988,11.935
25DC,9.511,9.24,12.752,13.144,13.557,14.067,14.569,14.48,14.354,14.325,13.92,13.636,13.429,13.297,13.39,13.448,13.515,13.504,13.5,13.705,13.531,13.334,13.196,13.092
25DP,9.454,9.09,12.537,12.716,13.012,12.762,12.816,12.64,12.435,12.315,11.84,11.509,11.356,11.242,11.405,11.503,11.605,11.726,11.81,12.035,12.068,11.963,11.896,11.851
15DC,10.174,9.579,13.069,13.552,14.022,14.799,15.503,15.446,15.368,15.38,15.025,14.755,14.526,14.41,14.511,14.565,14.623,14.51,14.448,14.613,14.408,14.168,13.996,13.865
15DP,10.076,9.366,12.756,12.938,13.227,12.876,12.873,12.689,12.48,12.37,11.895,11.555,11.389,11.27,11.419,11.505,11.598,11.719,11.823,12.018,12.037,11.939,11.879,11.84
10DC,10.665,9.847,13.295,13.844,14.355,15.297,16.14,16.098,16.076,16.088,15.752,15.497,15.26,15.155,15.265,15.32,15.38,15.232,15.115,15.25,15.093,14.827,14.636,14.488
10DP,10.555,9.602,12.925,13.126,13.415,13.022,12.99,12.798,12.584,12.493,12.017,11.672,11.49,11.365,11.49,11.56,11.64,11.783,11.895,12.06,12.066,11.97,11.913,11.876
05DC,11.452,10.237,13.662,14.295,14.874,16.049,17.062,17.051,17.054,17.129,16.846,16.601,16.356,16.266,16.433,16.501,16.579,16.327,16.152,16.253,16.105,15.827,15.625,15.466
05DP,11.315,9.932,13.203,13.406,13.708,13.237,13.169,12.967,12.77,12.67,12.2,11.842,11.647,11.516,11.662,11.722,11.8,11.927,12.018,12.14,12.151,12.056,11.999,11.963
