ExpiryStrike,1D,1W,2W,3W,1M,2M,3M,4M,5M,6M,9M,1Y,18M,2Y,3Y,4Y,5Y,6Y,7Y,10Y,15Y,20Y,25Y,30Y
50DC,9.1,16.227,16.02,14.423,15.347,15.21,14.865,14.753,14.624,14.488,14.245,14.09,14.368,14.39,14.475,14.47,14.665,14.675,14.695,14.72,14.683,14.652,14.629,14.619
35DC,10.07,17.567,17.37,16.224,16.621,16.519,16.18,16.051,15.919,15.784,15.506,15.423,15.643,15.66,15.72,15.702,15.9,15.837,15.79,15.9,15.386,15.217,15.039,14.841
35DP,8.4,15.267,15.075,12.911,14.469,14.311,13.97,13.899,13.79,13.661,13.479,13.308,13.683,13.73,13.85,13.937,14.195,14.298,14.363,14.425,14.627,14.62,14.614,14.614
25DC,11.007,18.73,18.544,16.864,17.777,17.711,17.395,17.26,17.146,17.014,16.742,16.675,16.874,16.9,16.95,17.019,17.31,17.407,17.51,17.635,17.059,16.981,16.895,16.808
25DP,8.122,14.84,14.651,12.386,14.047,13.884,13.54,13.485,13.384,13.236,13.072,12.905,13.306,13.35,13.5,13.661,13.96,14.11,14.16,14.285,14.657,14.647,14.638,14.636
15DC,12.631,20.331,20.195,16.466,19.542,19.497,19.235,19.064,18.986,18.869,18.554,18.538,18.693,18.811,18.937,19.101,19.534,19.814,19.994,20.243,20.13,20.229,20.31,20.389
15DP,8.124,14.694,14.515,12.984,13.867,13.742,13.4,13.341,13.244,13.091,12.906,12.753,13.088,13.164,13.452,13.714,14.131,14.386,14.555,14.678,14.915,14.888,14.866,14.852
10DC,13.835,21.414,21.321,16.025,20.795,20.729,20.491,20.282,20.222,20.123,19.756,19.77,19.903,20.107,20.325,20.496,21.013,21.335,21.522,21.808,21.989,22.121,22.231,22.337
10DP,8.275,14.786,14.624,14.375,13.935,13.871,13.579,13.488,13.322,13.263,13.024,12.9,13.053,13.162,13.595,13.939,14.478,14.736,14.987,15.273,15.23,15.188,15.152,15.127
05DC,14.905,22.743,22.672,16.542,22.138,22.079,21.849,21.612,21.551,21.457,21.048,21.043,21.097,21.32,21.585,21.812,22.403,22.736,22.982,23.254,23.354,23.417,23.465,23.516
05DP,8.363,14.744,14.598,14.529,13.897,13.852,13.574,13.476,13.373,13.259,13,12.886,12.967,13.103,13.649,14.123,14.808,15.233,15.535,15.929,15.861,15.797,15.741,15.7
