ExpiryStrike,50DC,35DC,35DP,25DC,25DP,15DC,15DP,10DC,10DP,05DC,05DP
1D,5.827,5.84,6.055,5.985,6.305,6.266,6.364,6.479,6.321,6.766,6.572
1W,5.495,5.562,5.487,5.661,5.529,5.876,5.664,6.066,5.794,6.299,5.964
2W,5.475,5.579,5.476,5.72,5.54,5.971,5.694,6.161,5.829,6.442,6.033
3W,5.438,5.546,5.444,5.706,5.519,5.975,5.685,6.175,5.82,6.478,6.041
1M,5.453,5.574,5.466,5.755,5.555,6.061,5.744,6.295,5.9,6.644,6.158
2M,5.525,5.682,5.537,5.901,5.639,6.25,5.855,6.5,6.03,6.902,6.325
3M,5.65,5.82,5.66,6.066,5.769,6.46,6.01,6.742,6.207,7.192,6.537
4M,5.775,5.954,5.786,6.21,5.9,6.62,6.14,6.909,6.336,7.374,6.672
5M,5.83,6.016,5.839,6.286,5.958,6.722,6.207,7.053,6.422,7.53,6.773
6M,5.87,6.063,5.878,6.351,6.004,6.809,6.261,7.133,6.478,7.647,6.847
9M,5.985,6.196,5.999,6.517,6.132,7.022,6.412,7.372,6.642,7.937,7.048
1Y,6.075,6.32,6.1,6.676,6.249,7.226,6.549,7.603,6.798,8.203,7.234
18M,6.327,6.592,6.342,6.972,6.487,7.554,6.781,7.951,7.024,8.574,7.458
2Y,6.475,6.757,6.487,7.167,6.632,7.807,6.942,8.25,7.21,8.917,7.674
3Y,7.2,7.673,7.163,8.375,7.325,9.549,7.776,10.345,8.195,11.306,8.893
4Y,7.575,8.122,7.527,8.946,7.699,10.324,8.176,11.23,8.63,12.254,9.393
5Y,7.875,8.462,7.848,9.391,8.044,10.939,8.566,11.933,9.058,13.004,9.905
6Y,7.871,8.416,7.857,9.288,8.048,10.85,8.552,11.957,9.047,13.019,9.891
7Y,7.867,8.377,7.862,9.216,8.048,10.805,8.541,11.977,9.036,13.029,9.877
10Y,7.86,8.294,7.87,9.098,8.046,10.8,8.523,12.032,9.01,13.06,9.842
15Y,7.712,8.112,7.725,8.893,7.885,10.561,8.319,11.786,8.768,12.813,9.558
20Y,7.636,8.012,7.654,8.789,7.805,10.459,8.214,11.687,8.64,12.704,9.404
25Y,7.589,7.945,7.61,8.723,7.754,10.406,8.147,11.64,8.555,12.644,9.3
30Y,7.558,7.894,7.581,8.677,7.72,10.38,8.1,11.622,8.496,12.611,9.225
