ExpiryStrike,50DC,35DC,35DP,25DC,25DP,15DC,15DP,10DC,10DP,05DC,05DP
1D,9.33,9.026,9.784,8.859,10.216,8.669,10.811,8.564,11.196,8.493,11.681
1W,8.745,8.43,9.21,8.244,9.651,8.021,10.249,7.893,10.628,7.794,11.1
2W,8.685,8.341,9.179,8.135,9.655,7.886,10.299,7.742,10.707,7.626,11.205
3W,8.358,7.99,8.86,7.776,9.349,7.538,10.068,7.405,10.55,7.296,11.092
1M,8.53,8.15,9.09,7.922,9.632,7.642,10.362,7.48,10.82,7.349,11.376
2M,8.455,8.055,9.055,7.83,9.655,7.573,10.458,7.426,10.959,7.317,11.583
3M,8.588,8.178,9.213,7.958,9.863,7.709,10.756,7.569,11.321,7.481,12.018
4M,8.58,8.176,9.209,7.961,9.869,7.727,10.782,7.601,11.359,7.531,12.08
5M,8.542,8.133,9.188,7.925,9.88,7.719,10.862,7.63,11.503,7.576,12.264
6M,8.613,8.199,9.271,8.003,9.998,7.801,11.019,7.701,11.664,7.677,12.481
9M,8.67,8.251,9.344,8.066,10.119,7.899,11.211,7.826,11.904,7.845,12.797
1Y,8.71,8.268,9.433,8.101,10.234,7.976,11.389,7.93,12.13,7.991,13.066
18M,8.827,8.361,9.564,8.199,10.386,8.1,11.59,8.086,12.379,8.182,13.372
2Y,8.9,8.407,9.657,8.25,10.52,8.177,11.817,8.184,12.676,8.317,13.739
3Y,9.045,8.468,9.858,8.279,10.796,8.206,12.224,8.225,13.175,8.363,14.326
4Y,9.055,8.39,9.935,8.169,10.966,8.065,12.51,8.067,13.512,8.18,14.721
5Y,9.165,8.397,10.128,8.121,11.264,7.947,12.917,7.907,13.963,7.957,15.217
6Y,9.508,8.576,10.522,8.244,11.705,8.086,13.509,8.093,14.735,8.175,16.074
7Y,9.758,8.69,10.8,8.325,12.025,8.206,13.919,8.268,15.203,8.324,16.642
10Y,10.76,9.43,11.88,8.993,13.318,8.883,15.538,8.98,17.04,9.083,18.796
15Y,12.35,11.702,13.632,11.115,14.615,11.112,16.627,11.355,18.355,11.613,20.157
20Y,12.35,11.875,13.786,11.38,14.888,11.274,16.759,11.363,18.191,11.63,20.007
25Y,12.293,11.89,13.715,11.333,14.767,11.222,16.552,11.314,17.938,11.584,19.756
30Y,12.257,11.943,13.669,11.304,14.681,11.19,16.397,11.285,17.743,11.559,19.559
