ExpiryStrike,1D,1W,2W,3W,1M,2M,3M,4M,5M,6M,9M,1Y,18M,2Y,3Y,4Y,5Y,6Y,7Y,10Y,15Y,20Y,25Y,30Y
50DC,13.575,12.888,13.15,13.028,13.58,13.675,13.82,13.938,13.951,13.98,14.068,14.138,14.31,14.387,14.862,15.335,15.86,15.819,15.786,15.71,15.391,15.206,15.076,14.979
35DC,13.845,13.198,13.615,13.619,14.202,14.42,14.675,14.836,14.899,14.965,15.103,15.278,15.527,15.68,16.211,16.733,17.3,17.221,17.153,16.968,16.486,16.12,15.761,15.313
35DP,13.43,12.723,12.89,12.741,13.197,13.23,13.325,13.434,13.431,13.45,13.548,13.578,13.737,13.8,14.304,14.803,15.35,15.365,15.377,15.401,15.179,15.07,15.003,14.96
25DC,14.139,13.52,14.084,14.211,14.82,15.161,15.539,15.756,15.884,16.005,16.231,16.453,16.774,17.01,17.641,18.258,18.911,18.864,18.831,18.756,18.367,18.132,17.948,17.786
25DP,13.426,12.7,12.821,12.664,13.04,13.034,13.096,13.189,13.17,13.175,13.244,13.288,13.421,13.46,13.969,14.457,14.984,15.023,15.05,15.086,14.882,14.784,14.726,14.689
15DC,14.61,14.009,14.788,14.996,15.755,16.27,16.82,17.11,17.342,17.549,17.879,18.173,18.544,18.894,19.691,20.41,21.141,21.176,21.208,21.288,20.986,20.867,20.808,20.782
15DP,13.565,12.796,12.898,12.679,13.005,12.95,12.975,13.045,12.996,12.981,12.971,13.088,13.191,13.206,13.769,14.24,14.734,14.769,14.789,14.8,14.602,14.509,14.453,14.42
10DC,14.959,14.351,15.27,15.491,16.401,17.021,17.683,18.005,18.317,18.576,18.949,19.295,19.665,20.075,20.976,21.741,22.495,22.543,22.586,22.69,22.402,22.303,22.266,22.263
10DP,13.721,12.909,13.005,12.734,13.049,12.964,12.968,13.01,12.948,12.924,12.851,13.035,13.115,13.115,13.734,14.199,14.665,14.668,14.672,14.676,14.475,14.381,14.324,14.289
05DC,15.438,14.838,15.945,16.248,17.224,17.955,18.72,19.075,19.434,19.733,20.121,20.498,20.854,21.274,22.228,22.995,23.732,23.764,23.794,23.859,23.54,23.408,23.341,23.308
05DP,13.926,13.075,13.175,12.879,13.138,13.023,13.006,13.03,12.956,12.921,12.794,13.026,13.065,13.037,13.703,14.153,14.581,14.582,14.584,14.583,14.374,14.273,14.212,14.173
