ExpiryStrike,1D,1W,2W,3W,1M,2M,3M,4M,5M,6M,9M,1Y,18M,2Y,3Y,4Y,5Y,6Y,7Y,10Y,15Y,20Y,25Y,30Y
50DC,10.808,9.238,9.448,9.622,9.653,9.563,9.648,9.7,9.722,9.7,9.735,9.76,10,10.132,10.453,10.735,10.92,10.886,10.86,11.075,11.038,10.933,10.861,10.809
35DC,10.93,9.361,9.59,9.756,9.823,9.78,9.905,9.994,10.049,10.052,10.13,10.21,10.461,10.611,10.951,11.23,11.43,11.431,11.432,11.668,11.588,11.463,11.369,11.291
35DP,10.77,9.194,9.395,9.559,9.583,9.45,9.51,9.541,9.548,9.512,9.525,9.535,9.779,9.909,10.244,10.545,10.725,10.72,10.725,10.928,10.867,10.79,10.742,10.711
25DC,11.093,9.513,9.749,9.846,10.005,10.006,10.173,10.294,10.384,10.415,10.543,10.66,10.923,11.096,11.466,11.769,11.989,12.009,12.033,12.32,12.192,12.09,12.022,11.974
25DP,10.833,9.233,9.421,9.599,9.595,9.444,9.488,9.511,9.51,9.465,9.468,9.48,9.733,9.859,10.194,10.486,10.646,10.649,10.658,10.81,10.711,10.639,10.595,10.567
15DC,11.401,9.78,10.013,9.889,10.279,10.338,10.549,10.716,10.861,10.93,11.125,11.311,11.581,11.806,12.216,12.596,12.821,12.763,12.715,13.018,12.956,12.868,12.818,12.789
15DP,11.059,9.385,9.548,9.791,9.696,9.528,9.561,9.579,9.582,9.55,9.555,9.594,9.854,10.009,10.334,10.569,10.694,10.597,10.51,10.613,10.558,10.49,10.448,10.421
10DC,11.645,9.981,10.204,9.892,10.47,10.567,10.805,11,11.193,11.27,11.518,11.753,12.025,12.29,12.725,13.157,13.378,13.25,13.145,13.38,13.412,13.327,13.281,13.256
10DP,11.27,9.524,9.661,9.962,9.79,9.623,9.65,9.665,9.674,9.66,9.683,9.748,10.015,10.205,10.52,10.692,10.793,10.595,10.445,10.48,10.484,10.415,10.373,10.347
05DC,11.985,10.266,10.482,10.022,10.758,10.906,11.185,11.421,11.652,11.777,12.09,12.378,12.659,12.967,13.423,13.863,14.066,13.856,13.709,13.883,13.912,13.824,13.774,13.747
05DP,11.525,9.706,9.819,10.107,9.928,9.752,9.773,9.787,9.819,9.804,9.839,9.931,10.207,10.426,10.741,10.874,10.936,10.651,10.455,10.408,10.411,10.341,10.298,10.27
