ExpiryStrike,1D,1W,2W,3W,1M,2M,3M,4M,5M,6M,9M,1Y,18M,2Y,3Y,4Y,5Y,6Y,7Y,10Y,15Y,20Y,25Y,30Y
50DC,11.11,13.16,13.825,13.76,14.113,14.072,14.03,14.128,14.112,14.093,14.29,14.36,14.632,14.94,15.62,16.375,16.77,17.433,17.865,19.505,19.391,19.249,19.152,19.087
35DC,11.947,14.209,14.904,14.862,15.251,15.335,15.409,15.531,15.546,15.556,15.829,16.008,16.327,16.688,17.516,18.385,18.874,19.814,20.392,21.985,20.265,0,0,0
35DP,10.397,12.296,12.961,12.952,13.309,13.205,13.136,13.239,13.221,13.194,13.396,13.418,13.712,14.018,14.759,15.59,16.031,16.67,17.032,18.84,19.323,19.26,19.221,19.2
25DC,12.664,15.122,15.855,15.87,16.325,16.529,16.733,16.89,16.96,17,17.376,17.648,18.05,18.503,19.626,20.799,21.581,22.86,23.74,25.78,24.442,23.872,23.291,22.683
25DP,9.961,11.752,12.43,12.47,12.845,12.736,12.668,12.77,12.751,12.705,12.879,12.893,13.165,13.418,14.189,15.056,15.494,16.109,16.39,17.93,19.157,19.095,19.058,19.037
15DC,13.675,16.395,17.207,17.237,17.929,18.287,18.711,18.915,19.099,19.188,19.596,20.198,20.736,21.375,22.921,24.49,25.76,28.1,29.446,31.781,32.712,32.743,32.748,32.717
15DP,9.565,11.285,11.982,12.042,12.476,12.432,12.389,12.495,12.478,12.448,12.554,12.613,12.844,13.095,13.994,14.92,15.505,16.316,16.839,18.204,19.23,19.146,19.091,19.056
10DC,14.352,17.301,18.156,18.17,19.066,19.516,20.105,20.299,20.586,20.725,21.11,22.02,22.596,23.443,25.23,26.923,28.447,31.249,32.947,35.377,35.666,35.718,35.778,35.843
10DP,9.377,11.074,11.789,11.835,12.319,12.349,12.345,12.446,12.431,12.43,12.49,12.61,12.799,13.088,14.155,15.168,15.978,17.034,18.102,19.522,19.474,19.364,19.288,19.235
05DC,15.239,18.387,19.287,19.332,20.455,20.975,21.736,21.978,22.224,22.504,22.851,24.067,24.754,25.635,27.624,29.464,31.09,33.009,34.313,36.662,36.75,36.671,36.628,36.607
05DP,9.161,10.832,11.552,11.627,12.17,12.315,12.359,12.467,12.456,12.486,12.474,12.663,12.846,13.165,14.476,15.756,16.825,18.117,18.983,20.202,20.106,19.949,19.836,19.752
